Source Target
0 48 NH_0
0 130 NH_0
48 0 NH_48
48 130 NH_48
130 0 NH_130
130 48 NH_130
130 129 NH_130
129 130 NH_129
1 50 NH_1
1 56 NH_1
1 99 NH_1
1 106 NH_1
1 146 NH_1
1 147 NH_1
1 149 NH_1
1 158 NH_1
1 175 NH_1
1 195 NH_1
1 206 NH_1
50 1 NH_50
50 56 NH_50
50 79 NH_50
50 99 NH_50
50 146 NH_50
50 147 NH_50
50 149 NH_50
50 158 NH_50
50 175 NH_50
50 192 NH_50
50 195 NH_50
56 1 NH_56
56 50 NH_56
56 55 NH_56
56 99 NH_56
56 146 NH_56
56 147 NH_56
56 158 NH_56
56 175 NH_56
56 192 NH_56
56 195 NH_56
99 1 NH_99
99 50 NH_99
99 56 NH_99
99 79 NH_99
99 146 NH_99
99 147 NH_99
99 149 NH_99
99 158 NH_99
99 192 NH_99
106 1 NH_106
106 146 NH_106
106 147 NH_106
106 149 NH_106
106 158 NH_106
106 175 NH_106
106 192 NH_106
146 1 NH_146
146 50 NH_146
146 56 NH_146
146 79 NH_146
146 99 NH_146
146 106 NH_146
146 147 NH_146
146 149 NH_146
146 158 NH_146
146 175 NH_146
146 192 NH_146
146 195 NH_146
146 206 NH_146
147 1 NH_147
147 50 NH_147
147 55 NH_147
147 56 NH_147
147 79 NH_147
147 99 NH_147
147 106 NH_147
147 146 NH_147
147 149 NH_147
147 158 NH_147
147 175 NH_147
147 192 NH_147
147 195 NH_147
147 206 NH_147
149 1 NH_149
149 50 NH_149
149 99 NH_149
149 106 NH_149
149 146 NH_149
149 147 NH_149
149 158 NH_149
149 175 NH_149
149 195 NH_149
149 206 NH_149
158 1 NH_158
158 50 NH_158
158 55 NH_158
158 56 NH_158
158 99 NH_158
158 106 NH_158
158 146 NH_158
158 147 NH_158
158 149 NH_158
158 175 NH_158
158 192 NH_158
158 195 NH_158
158 206 NH_158
175 1 NH_175
175 50 NH_175
175 56 NH_175
175 79 NH_175
175 106 NH_175
175 146 NH_175
175 147 NH_175
175 149 NH_175
175 158 NH_175
175 192 NH_175
175 195 NH_175
175 206 NH_175
195 1 NH_195
195 50 NH_195
195 56 NH_195
195 146 NH_195
195 147 NH_195
195 149 NH_195
195 158 NH_195
195 175 NH_195
195 192 NH_195
195 206 NH_195
206 1 NH_206
206 146 NH_206
206 147 NH_206
206 149 NH_206
206 158 NH_206
206 175 NH_206
206 192 NH_206
206 195 NH_206
79 50 NH_79
79 99 NH_79
79 146 NH_79
79 147 NH_79
79 175 NH_79
79 192 NH_79
192 50 NH_192
192 55 NH_192
192 56 NH_192
192 79 NH_192
192 99 NH_192
192 106 NH_192
192 146 NH_192
192 147 NH_192
192 158 NH_192
192 175 NH_192
192 195 NH_192
192 206 NH_192
55 56 NH_55
55 147 NH_55
55 158 NH_55
55 192 NH_55
2 3 NH_2
3 2 NH_3
4 5 NH_4
4 132 NH_4
4 231 NH_4
5 4 NH_5
5 132 NH_5
5 231 NH_5
132 4 NH_132
132 5 NH_132
231 4 NH_231
231 5 NH_231
6 7 NH_6
7 6 NH_7
7 96 NH_7
96 7 NH_96
8 19 NH_8
19 8 NH_19
19 18 NH_19
18 19 NH_18
10 141 NH_10
10 161 NH_10
10 198 NH_10
10 213 NH_10
10 236 NH_10
10 247 NH_10
141 10 NH_141
161 10 NH_161
198 10 NH_198
213 10 NH_213
236 10 NH_236
247 10 NH_247
11 86 NH_11
11 167 NH_11
86 11 NH_86
86 167 NH_86
167 11 NH_167
167 86 NH_167
167 166 NH_167
166 167 NH_166
12 13 NH_12
13 12 NH_13
14 63 NH_14
63 14 NH_63
16 17 NH_16
17 16 NH_17
20 207 NH_20
20 242 NH_20
207 20 NH_207
207 182 NH_207
207 186 NH_207
207 242 NH_207
242 20 NH_242
242 182 NH_242
242 207 NH_242
182 186 NH_182
182 207 NH_182
182 242 NH_182
186 182 NH_186
186 185 NH_186
186 207 NH_186
185 186 NH_185
21 22 NH_21
22 21 NH_22
22 127 NH_22
127 22 NH_127
23 25 NH_23
23 33 NH_23
23 40 NH_23
25 23 NH_25
33 23 NH_33
40 23 NH_40
24 26 NH_24
24 59 NH_24
26 24 NH_26
26 27 NH_26
26 59 NH_26
26 60 NH_26
26 114 NH_26
26 243 NH_26
59 24 NH_59
59 26 NH_59
59 27 NH_59
59 60 NH_59
59 114 NH_59
59 243 NH_59
27 26 NH_27
27 59 NH_27
27 60 NH_27
60 26 NH_60
60 27 NH_60
60 59 NH_60
114 26 NH_114
114 59 NH_114
243 26 NH_243
243 59 NH_243
28 143 NH_28
143 28 NH_143
143 142 NH_143
143 164 NH_143
143 165 NH_143
142 143 NH_142
164 143 NH_164
165 143 NH_165
29 30 NH_29
30 29 NH_30
30 131 NH_30
30 246 NH_30
131 30 NH_131
246 30 NH_246
31 32 NH_31
32 31 NH_32
32 87 NH_32
87 32 NH_87
87 53 NH_87
53 54 NH_53
53 87 NH_53
54 53 NH_54
34 35 NH_34
34 83 NH_34
35 34 NH_35
35 83 NH_35
83 34 NH_83
83 35 NH_83
83 82 NH_83
83 228 NH_83
83 241 NH_83
82 83 NH_82
228 83 NH_228
241 83 NH_241
36 37 NH_36
37 36 NH_37
41 68 NH_41
68 41 NH_68
68 67 NH_68
68 178 NH_68
67 68 NH_67
178 68 NH_178
178 177 NH_178
177 178 NH_177
42 233 NH_42
233 42 NH_233
233 232 NH_233
232 233 NH_232
43 44 NH_43
44 43 NH_44
44 84 NH_44
84 44 NH_84
45 46 NH_45
45 58 NH_45
46 45 NH_46
46 58 NH_46
58 45 NH_58
58 46 NH_58
58 57 NH_58
58 61 NH_58
58 95 NH_58
57 58 NH_57
61 58 NH_61
95 58 NH_95
47 94 NH_47
94 47 NH_94
94 92 NH_94
94 93 NH_94
92 93 NH_92
92 94 NH_92
93 92 NH_93
93 94 NH_93
49 240 NH_49
240 49 NH_240
240 97 NH_240
240 239 NH_240
97 240 NH_97
239 240 NH_239
51 52 NH_51
52 51 NH_52
52 193 NH_52
52 196 NH_52
52 197 NH_52
52 212 NH_52
52 237 NH_52
193 52 NH_193
196 52 NH_196
197 52 NH_197
212 52 NH_212
237 52 NH_237
64 65 NH_64
64 66 NH_64
65 64 NH_65
65 66 NH_65
65 171 NH_65
65 184 NH_65
66 64 NH_66
66 65 NH_66
66 171 NH_66
171 65 NH_171
171 66 NH_171
171 170 NH_171
171 184 NH_171
184 65 NH_184
184 171 NH_184
184 183 NH_184
170 171 NH_170
183 184 NH_183
70 71 NH_70
70 72 NH_70
71 70 NH_71
72 70 NH_72
72 100 NH_72
100 72 NH_100
74 75 NH_74
75 74 NH_75
76 77 NH_76
76 85 NH_76
76 119 NH_76
76 120 NH_76
77 76 NH_77
85 76 NH_85
85 120 NH_85
119 76 NH_119
119 120 NH_119
120 76 NH_120
120 85 NH_120
120 119 NH_120
80 81 NH_80
81 80 NH_81
81 229 NH_81
229 81 NH_229
88 89 NH_88
89 88 NH_89
90 91 NH_90
91 90 NH_91
101 102 NH_101
102 101 NH_102
102 123 NH_102
123 102 NH_123
104 133 NH_104
104 134 NH_104
104 135 NH_104
104 136 NH_104
104 137 NH_104
104 138 NH_104
104 155 NH_104
104 200 NH_104
104 225 NH_104
104 248 NH_104
133 104 NH_133
133 134 NH_133
133 135 NH_133
133 136 NH_133
133 137 NH_133
133 138 NH_133
134 104 NH_134
134 133 NH_134
134 135 NH_134
134 136 NH_134
134 137 NH_134
134 138 NH_134
134 155 NH_134
134 200 NH_134
134 225 NH_134
134 248 NH_134
135 104 NH_135
135 133 NH_135
135 134 NH_135
135 136 NH_135
135 137 NH_135
135 138 NH_135
135 155 NH_135
135 200 NH_135
135 225 NH_135
135 248 NH_135
136 104 NH_136
136 133 NH_136
136 134 NH_136
136 135 NH_136
136 137 NH_136
136 138 NH_136
136 155 NH_136
137 104 NH_137
137 133 NH_137
137 134 NH_137
137 135 NH_137
137 136 NH_137
137 138 NH_137
137 155 NH_137
137 200 NH_137
137 225 NH_137
138 104 NH_138
138 133 NH_138
138 134 NH_138
138 135 NH_138
138 136 NH_138
138 137 NH_138
138 155 NH_138
138 200 NH_138
138 225 NH_138
138 248 NH_138
155 104 NH_155
155 134 NH_155
155 135 NH_155
155 136 NH_155
155 137 NH_155
155 138 NH_155
200 104 NH_200
200 134 NH_200
200 135 NH_200
200 137 NH_200
200 138 NH_200
200 248 NH_200
225 104 NH_225
225 134 NH_225
225 135 NH_225
225 137 NH_225
225 138 NH_225
225 248 NH_225
248 104 NH_248
248 134 NH_248
248 135 NH_248
248 138 NH_248
248 200 NH_248
248 225 NH_248
107 108 NH_107
107 111 NH_107
107 112 NH_107
108 107 NH_108
108 111 NH_108
111 107 NH_111
111 108 NH_111
112 107 NH_112
109 110 NH_109
110 109 NH_110
113 115 NH_113
113 116 NH_113
113 117 NH_113
113 118 NH_113
115 113 NH_115
115 118 NH_115
116 113 NH_116
116 117 NH_116
116 118 NH_116
117 113 NH_117
117 116 NH_117
118 113 NH_118
118 115 NH_118
118 116 NH_118
121 122 NH_121
122 121 NH_122
125 126 NH_125
126 125 NH_126
139 140 NH_139
140 139 NH_140
150 151 NH_150
151 150 NH_151
152 176 NH_152
176 152 NH_176
153 154 NH_153
154 153 NH_154
156 157 NH_156
157 156 NH_157
159 160 NH_159
160 159 NH_160
160 181 NH_160
181 160 NH_181
181 188 NH_181
188 181 NH_188
162 163 NH_162
163 162 NH_163
168 169 NH_168
169 168 NH_169
172 173 NH_172
173 172 NH_173
173 174 NH_173
174 173 NH_174
179 180 NH_179
180 179 NH_180
187 217 NH_187
187 222 NH_187
217 187 NH_217
217 216 NH_217
217 222 NH_217
222 187 NH_222
222 217 NH_222
222 221 NH_222
216 217 NH_216
221 222 NH_221
189 190 NH_189
190 189 NH_190
199 215 NH_199
199 227 NH_199
199 230 NH_199
215 199 NH_215
215 214 NH_215
227 199 NH_227
230 199 NH_230
214 215 NH_214
201 202 NH_201
201 203 NH_201
202 201 NH_202
202 203 NH_202
203 201 NH_203
203 202 NH_203
204 205 NH_204
205 204 NH_205
208 209 NH_208
209 208 NH_209
210 211 NH_210
211 210 NH_211
218 219 NH_218
219 218 NH_219
223 224 NH_223
224 223 NH_224
234 235 NH_234
235 234 NH_235
244 245 NH_244
245 244 NH_245
